stoichiometry,U_R3m_V,U_C2m_V,U_effective_V,dUdx_R3m_from_sech2,dUdx_C2m_from_sech2,dUdx_effective_from_sech2,relative_dQdV_effective
0.35520868113522536,4.65,3.6991306077977337,4.288669630963139,-0.416273149283134,-2.8164849315030382,-1.3283536265266975,-0.7528115857331924
0.3568447412353923,4.65,3.69449906162037,4.286909643415741,-0.32487249922086064,-2.8452448842057945,-1.2826140055151356,-0.7796577892492064
0.35848080133555926,4.65,3.6898209322710636,4.285131954263004,-0.23698992581774656,-2.873440463980793,-1.2388411303197042,-0.8072060052945875
0.3601168614357262,4.65,3.6850970948948056,4.283336896060026,-0.15311538031538144,-2.9011301175714603,-1.1973609804726915,-0.83517002500384
0.3617529215358931,4.65,3.6803283313408763,4.281524765909533,-0.07373345891865898,-2.9283694622487806,-1.158495140184105,-0.8631887742240184
0.3633889816360601,4.65,3.6755153347209606,4.279695827193965,0.0006818496214691276,-2.955211371814595,-1.1225575745242353,-0.8908229053853404
0.365025041736227,4.65,3.67065871383092,4.27785031125575,0.06967257954788512,-2.9817060572457925,-1.0898513024337124,-0.9175563655031945
0.36666110183639394,4.65,3.665758997445162,4.2759884190291615,0.13280227035120098,-3.0079011417373023,-1.0606650262424304,-0.9428047265239379
0.3682971619365609,4.65,3.6608166384929546,4.2741103226273225,0.18966141084235938,-3.0338417299599953,-1.0352697826625354,-0.965931795505682
0.36993322203672785,4.65,3.655832018126255,4.272216166887977,0.23987273436512585,-3.0595704714027137,-1.0139156838266532,-0.9862753046938444
0.37156928213689483,4.65,3.650805449688806,4.270306070881746,0.2830962518304007,-3.0851276177164424,-0.9968288185973998,-1.0031812697861828
0.37320534223706175,4.65,3.645737182596342,4.26838012938661,0.31903391009033094,-3.110551074023786,-0.9842083838730334,-1.0160449924891146
0.3748414023372287,4.65,3.6406274061377943,4.266438414332362,0.34743376767178735,-3.1358764441992544,-0.9762241128392086,-1.0243549476478742
0.37647746243739566,4.65,3.6354762532073126,4.2644809762187785,0.3680935880856737,-3.1611370701657378,-0.9730140620498627,-1.0277343761027313
0.3781135225375626,4.65,3.6302838039768384,4.262507845511198,0.38086376267707184,-3.186364065290756,-0.9746828119507029,-1.0259747968660984
0.3797495826377295,4.65,3.625050089518785,4.260519034017138,0.3856494899625057,-3.211586342002941,-0.9813001261843641,-1.0190562227769677
0.3813856427378965,4.65,3.6197750953881602,4.258514536247501,0.38241215612976526,-3.2368306337852255,-0.9929001040379312,-1.0071506649391968
0.3830217028380634,4.65,3.6144587651731808,4.2564943307658085,0.3711698812227998,-3.262121511736781,-1.0094808481018411,-0.9906081941825164
0.38465776293823034,4.65,3.6091010040230755,4.254458381528769,0.3519972167551159,-3.2874813959311697,-1.0310046560656727,-0.9699277244935179
0.3862938230383973,4.65,3.603701682161391,4.252406639221329,0.3250240022701253,-3.3129305618336806,-1.057398732089321,-0.9457170409350629
0.38792988313856425,4.65,3.598260638392634,4.250339042589201,0.2904334098463148,-3.338487142076698,-1.08855639988443,-0.9186478533461087
0.38956594323873117,4.65,3.5927776836095857,4.248255519771643,0.24845922589500224,-3.3641671239282944,-1.1243387870378505,-0.8894116360021433
0.39120200333889815,4.65,3.5872526043080253,4.2461559896370495,0.19938243804721606,-3.389984342826092,-1.1645769386846412,-0.858680922472562
0.3928380634390651,4.65,3.581685166114974,4.24404036312369,0.14352721080515027,-3.4159504723859717,-1.209074308807476,-0.8270790246021451
0.39447412353923206,4.65,3.5760751173358716,4.2419085445876314,0.08125634641073542,-3.442075011333197,-1.257609569531959,-0.7951593437478114
0.396110183639399,4.65,3.5704221925253217,4.239760433159622,0.012966336688082038,-3.468365267841956,-1.3099396730333326,-0.7633939337712952
0.3977462437395659,4.65,3.5647261160852173,4.237595924112383,-0.06091788275017268,-3.494826341808068,-1.3658030971921729,-0.7321699607035645
0.3993823038397329,4.65,3.558986605893186,4.2354149102394105,-0.1399483626022537,-3.5214611056182377,-1.4249232049483276,-0.701792206434215
0.4010183639398998,4.65,3.553203376963318,4.233217283246061,-0.22365964256197726,-3.5482701840176283,-1.4870116483151246,-0.6724896883847961
0.40265442404006674,4.65,3.5473761451401336,4.231002935153251,-0.31157421973801175,-3.575251933715146,-1.5517717510493227,-0.6444246709116792
0.4042904841402337,4.65,3.5415046308256812,4.228771759713759,-0.40320788367531296,-3.602402423402214,-1.6189018087715352,-0.617702688687973
0.40592654424040064,4.65,3.535588562738491,4.226523653840626,-0.49807482891269467,-3.6297154148955277,-1.6880982515861713,-0.5923825814406121
0.40756260434056757,4.65,3.529627681701974,4.22425851904675,-0.5956924678682073,-3.657182346146511,-1.7590586216139628,-0.5684858865490707
0.40919866444073455,4.65,3.523621744458558,4.221976262894252,-0.6955858799125618,-3.684792316889495,-1.8314843259637965,-0.5460052187308576
